Day,Month,IncidentYear,VictimInjury,State,Location,latitude,longitude,SharkType,SharkLength(m),Provoked,SharkCount,VictimActivity,InjuryLocation,InjurySeverity,VictimGender,VictimAge
1,1,1791,Fatal,NSW,near sydney,-33.86666667,151.2,white shark,,Unprovoked,,swimming,torso,major lacerations,Female,
22,3,1803,Injured,WA,"hamelin bay, faure island",-25.83333333,113.8833333,tiger shark,,Unprovoked,1,swimming,,,Male,
18,1,1807,Injured,NSW,"cockle bay, sydney harbour",-33.86666667,151.2,bull shark,,Unprovoked,1,swimming,"arm, hand",minor lacerations,Male,
1,1,1820,Fatal,TAS,"sweetwater point, pitt water",-42.8,147.5333333,,,Provoked,1,swimming,leg,major lacerations,Male,
1,1,1825,Injured,NSW,"kirribili point, sydney harbour",-33.85,151.2166667,bull shark,,Unprovoked,1,swimming,leg,minor lacerations,Male,15
1,1,1830,Injured,TAS,bruny island,-43.28333333,147.3333333,white shark,,Unprovoked,1,swimming,arm,major lacerations,Female,
20,1,1832,Injured,NSW,"blackwattle bay, glebe, sydney harbour",-33.86666667,151.1833333,bull shark,,Provoked,,swimming,leg,minor lacerations,Male,
4,6,1832,Injured,NSW,"south head, sydney harbour",-33.83333333,151.2666667,white shark,,Provoked,1,fishing,leg,major lacerations,Female,
1,1,1836,Injured,SA,holdfast bay,-34.95,138.5,white shark,,Unprovoked,,swimming,,,Male,
1,8,1836,Fatal,QLD,fraser island,-25.48333333,152.9833333,whaler shark,,Unprovoked,1,swimming,other: body not recovered,,Male,
1,8,1836,Fatal,QLD,fraser island,-25.48333333,152.9833333,whaler shark,,Unprovoked,1,swimming,other: body not recovered,,Male,
17,1,1837,Fatal,NSW,macleay river,-30.93333333,153.0166667,bull shark,,Unprovoked,1,swimming,leg,major lacerations,Male,12
7,8,1839,Fatal,VIC,"sealer's cove, wilson's promontory",-38.98333333,146.45,white shark,,Provoked,1,swimming,leg,major lacerations,Male,
1,12,1840,Fatal,NSW,"wooloomooloo bay, sydney harbour",-33.85,151.2166667,bull shark,,Unprovoked,1,swimming,leg,major lacerations,Male,
25,4,1841,Fatal,NSW,"cockatoo island, sydney harbour",-33.83333333,151.1666667,bull shark,,Unprovoked,1,swimming,thigh,major lacerations,Male,
3,3,1847,Injured,QLD,moreton bay,-27.25,153.25,bull shark,,Unprovoked,,swimming,foot,major lacerations,Male,
30,11,1847,Injured,QLD,brisbane river,-27.43333333,153.0833333,bull shark,,Unprovoked,1,swimming,"thigh, calf",major lacerations,Male,
1,1,1849,Fatal,WA,"quindalup, busselton",-33.36666667,115.2833333,white shark,,Provoked,1,swimming,,,Male,
9,12,1849,Injured,VIC,portland,-38.33333333,141.6,white shark,,Unprovoked,1,swimming,leg,other: teeth marks,Male,
2,12,1849,Fatal,NSW,"woolloomooloo bay, sydney harbour",-33.81666667,151.2,bull shark,,Unprovoked,1,swimming,thigh,major lacerations,Male,
1,1,1850,Fatal,QLD,moreton bay,-27.28333333,153.2166667,tiger shark,,Unprovoked,1,swimming,other: body not recovered,,Male,
10,3,1850,Injured,NSW,"yamba, clarence head",-29.41666667,153.3333333,whaler shark,,Unprovoked,1,swimming,,,Male,
9,11,1853,Injured,NSW,sydney harbour,-33.85,151.2166667,wobbegong,1,Provoked,1,swimming,leg,minor lacerations,Male,
1,1,1855,Injured,QLD,mary river,-25.5,152.7166667,bull shark,,Unprovoked,1,swimming,leg,major lacerations,Female,
